5/5:,"""Fast shipping, great product."""," Sari, 8 February 2016"
5/5:,"""good"""," mehul , 8 February 2016"
5/5:,"""Very good product....."""," CHINTAMONI P., 8 February 2016"
5/5:,"""Company easy to work with, quick to resolve problems A+"""," Sari, 8 February 2016"
3/5:,"""the blades are bloody deadly :("""," medha, 8 February 2016"
5/5:,""":)"""," medha, 8 February 2016"
4/5:,"""Really good. But no warranty card. Hope it really continues to work well."""," NAGENDIRAN S, 8 February 2016"
5/5:,"""Fast shipping, great product."""," Sari, 8 February 2016"
4/5:,"""VOYAGE is a descent deo which I am using for a long time."""," NAGENDIRAN S, 8 February 2016"
5/5:,"""Excallent"""," Amazon Customer, 8 February 2016"
5/5:,"""great helmet ."""," nikita, 8 February 2016"
5/5:,"""came by amazon courier service.had to go to their office and pick up since they said that there is no delivery to my place.why is it so ?.this is an inconvenience.If you promise door delivery do that."""," brejesh varma, 8 February 2016"
4/5:,"""Goood product"""," Amazon Customer, 8 February 2016"
5/5:,"""good job"""," Amazon Customer, 8 February 2016"
1/5:,"""Product was expiry date"""," nihar monani, 8 February 2016"
4/5:,"""ok"""," RASIKA S. MAHANTA, 8 February 2016"
4/5:,"""Hurray i ordered for 48 and i got 48+4 pack good seller"""," Amazon Customer, 8 February 2016"
3/5:,"""Order Date: 3 February 2016
Order #: 404-8972543-6661105
Replacement is awaited"""," Amazon Customer, 8 February 2016"
"<span style=""text-decoration:line-through"">3/5</span>","""Order Date: 3 February 2016
Order #: 404-8972543-6661105
Waiting for replacement, erroneously clicked cancellation. Kindly confirm if replacement can be sent as per delivery"""," Amazon Customer, 8 February 2016",<b>Message from Amazon:</b>
4/5:,"""good product gives shine to old plastic parts of vehicle"""," BIYA.A.V, 8 February 2016"
4/5:,"""good"""," RASIKA S. MAHANTA, 8 February 2016"
4/5:,"""good"""," Dr Ramesh, 8 February 2016"
5/5:,"""Nice product nice camera and display"""," Amazon Customer, 8 February 2016"
4/5:,"""Delivered before time"""," Muralidhar M., 8 February 2016"
4/5:,"""good service"""," Amazon Customer, 8 February 2016"
4/5:,"""shape not good"""," krishnaraj p, 8 February 2016"
1/5:,"""Very Bad Services...I m not satisfied....."""," Trushal, 8 February 2016"
5/5:,"""Very Happy with the product."""," Rajesh Kumar P, 8 February 2016"
1/5:,"""package returned as it was opened"""," sm, 8 February 2016"
5/5:,"""the service is very good, the product arrived before one day"""," Amazon Customer, 8 February 2016"
5/5:,"""Very Happy with the product."""," Rajesh Kumar P, 8 February 2016"
1/5:,"""What the hell is going on? The courier partner is playing with me. What the fucking service.."""," Abhisek , 8 February 2016"
4/5:,"""Had a good experience."""," Amazon Customer, 8 February 2016"
5/5:,"""very good"""," sree , 8 February 2016"
5/5:,"""Item is as described."""," Prajith , 8 February 2016"
5/5:,"""Fantastic experience"""," Amazon Customer, 8 February 2016"
5/5:,"""Happy with delivery"""," Rajesh Kumar P, 8 February 2016"
1/5:,"""Hi,

The Courier guy did not come to collect return parcel."""," Rauji salgaonkar, 8 February 2016"
4/5:,"""good service...,fast delivery"""," Amazon Customer, 8 February 2016"
3/5:,"""it was okay"""," Ankita N., 8 February 2016"
5/5:,"""Delivery was on time"""," Rohit , 8 February 2016"
1/5:,"""lipstick was complete BROKEN AND MELTED. How can they sell such product. Its simply waste of our money. You people are cheating us by doing this."""," Amazon Customer, 8 February 2016"
4/5:,"""The item was good"""," Esther B., 8 February 2016"
5/5:,"""great"""," Ajay P., 8 February 2016"
5/5:,"""Excellent works very well with all the devices.Nice compatibility."""," Tejas Tikhe, 8 February 2016"
5/5:,"""great."""," Ajay P., 8 February 2016"
5/5:,"""great."""," Ajay P., 8 February 2016"
5/5:,"""very nice product."""," Amazon Customer, 8 February 2016"
5/5:,"""it was very quick to get this one.. it works"""," P-a-d-d-y, 8 February 2016"
5/5:,"""items coming in first February"""," ajayakumar.cr , 8 February 2016"
5/5:,"""good"""," sanjib, 8 February 2016"
4/5:,"""Nice Product, fit is fine too"""," Mani Singh, 8 February 2016"
5/5:,"""product was nice and well fitted on me and packaging was too good."""," Amazon Customer, 8 February 2016"
5/5:,"""Good Quality"""," Krunal, 8 February 2016"
4/5:,"""Good sandals"""," rajendra deshmukh, 8 February 2016"
1/5:,"""The shirt i received is diffetent from the pics.
i've received the shirt with green dots on it, but i ordered the shirt with blue dots on it (which is same as in the pic)."""," Amazon Customer, 8 February 2016"
5/5:,"""verr good produt"""," G.VIJAY K., 8 February 2016"
5/5:,"""Quick shipping."""," Anju, 8 February 2016"
1/5:,"""Worst seller , wrong delivery date"""," yash jain, 8 February 2016"
4/5:,"""Delivery well ahead."""," Emmanual AJ, 8 February 2016"
5/5:,"""good product @ cheap price when compared to local market"""," K M., 8 February 2016"
3/5:,"""Product is satisfactory."""," Amazon Customer, 8 February 2016"
5/5:,"""Great Product"""," Deepak Chetia, 8 February 2016"
3/5:,"""FAIR"""," diveshdik , 8 February 2016"
5/5:,"""Good seller."""," Anand V, 8 February 2016"
5/5:,"""Item(s) arrived well in time and in good condition. Top Class Seller."""," Anand V, 8 February 2016"
5/5:,"""good"""," Jitendra B. Patel, 8 February 2016"
4/5:,"""very good"""," Mohamed U., 8 February 2016"
5/5:,"""Good service and product is as described by the seller."""," SRIKANTH G.K, 8 February 2016"
4/5:,"""Good product"""," Suresh M Dubey, 8 February 2016"
5/5:,"""Good"""," Amazon Customer, 8 February 2016"
5/5:,"""Excellent delivery by Amazon...as always!  Item was delivered  3 days in advance.  As the delivery was to an old woman, the delivery person had taken personal care in delivering the package at a time convenient to her.  Thanks!"""," appu, 8 February 2016"
4/5:,"""good experience"""," Suryakant S., 8 February 2016"
4/5:,"""Good service & good offers from cloudtail...."""," Rinky M., 8 February 2016"
5/5:,"""Very prompt delivery & item exactly as described"""," Amazon Customer, 8 February 2016"
5/5:,"""Safely delivered, on time."""," Anju, 8 February 2016"
5/5:,"""AS promised!"""," Amazon Customer, 8 February 2016"
4/5:,"""Heat upto 41% while I'm uploading a video. And amazon app can't be cleared on closing tabs. Soft key does not work well.(backey). While. During usage. Liquid splash in between display."""," Amazon Customer, 8 February 2016"
5/5:,"""nice product as per description ."""," pankaj malhotra, 8 February 2016"
5/5:,"""Prompt delivery!!."""," Kiran , 8 February 2016"
5/5:,"""thanks for giving me this product in 199 rupee. i want other stanley products also on low price"""," Ravi Jumwal, 8 February 2016"
5/5:,"""Over All Good experience"""," pallavi , 8 February 2016"
"<span style=""text-decoration:line-through"">2/5</span>","""Delivery of product was delayed a lot. I ordered on 23rd of January and got delivery on 1st of February. Almost 10 days!"""," Mandar , 8 February 2016",<b>Message from Amazon:</b>
4/5:,"""Overall good but light electric shock is being experienced some times"""," Amazon Customer, 8 February 2016"
5/5:,"""Good seller , fast shipping"""," Chaos, 8 February 2016"
1/5:,"""I am getting messages & mails stating that the order attempt was made but was not successful, i have ordered couple of other products earlier from Amazon which came to me except this seller, I receive a call before coming to place, this time no call. VERY VERY POOR SERVICE & THIS SELLER IS NOT TRUST WORTHY. Very sad that this seller is tied up with Amazon, Amazon is known for its customer service."""," Nithin , 8 February 2016"
5/5:,"""very good"""," aakib khan, 8 February 2016"
1/5:,"""Item has been delivered twice to me, with faulty microwave and with no starter kit and IFB reciepe book. I have ordered this in marathon sale on 21st jan, but at the end have return my item bcs of mentioned reasons. Quite disappointed with cloud tail."""," Amazon Customer, 8 February 2016"
5/5:,"""Good"""," Insane  Rider, 8 February 2016"
5/5:,"""Great product and service"""," D P, 8 February 2016"
1/5:,"""The package looks duplicate. I was using the similar one from local store with no complaints. This one has least concentration available in the same amount of water."""," Gaurav , 8 February 2016"
4/5:,"""Good one"""," Amazon Customer, 8 February 2016"
5/5:,"""Great product and service"""," D P, 8 February 2016"
5/5:,"""Dear Sir, I need Door Size curtain for same. Which is Rs.1208. Kindly change the size. else I have to return the item."""," V V Ravi Shankar, 8 February 2016"
5/5:,"""Great product and service"""," D P, 8 February 2016"
1/5:,"""Bad quality product. do not buy the item"""," Subrata Kumar Rout, 8 February 2016"
4/5:,"""This is good piece, which justifies the value of money I paid"""," MKM Ashraff, 8 February 2016"
5/5:,"""Very good mobile phone, good packing, prompt delivery"""," Amazon Customer, 8 February 2016"
3/5:,"""Colour not exactly as in picture. Hoping for skin colour but slighly different"""," vipul, 8 February 2016"
1/5:,"""So here is what happened. I never got a Hush Puppies Men's Edwin_Low Cut Gold Leather Sneaker- 10 UK (8243997). Amazon/re-seller goofed up. they sent Hush Puppies Men's Edwin_Low Cut Leather Formal Shoes (they are blue in color) for reason i don't know. Now the size 10 isn't available anymore."""," Sankalp Rai, 8 February 2016"
5/5:,"""very fast deleivery."""," saeed , 8 February 2016"
4/5:,"""good product"""," Amazon Customer, 8 February 2016"
3/5:,"""delivery was late by 3 days
i ordered slim fit but the product though slim fit the legs are not narrow as mentioned in the product.
the MRP is not justified, the quality do not seem to be of Rupees 2795/- though the fabric quality does justice to the 1397 rupees discounted price.
i cannot return it because need to wear it tommorow.."""," Amazon Customer, 8 February 2016"
5/5:,"""Excellent service ..package came before time."""," Amazon Customer, 8 February 2016"
5/5:,"""good product"""," SATYA NARAYAN MAHAPATRA, 8 February 2016"
4/5:,"""good product"""," TEJAL G., 8 February 2016"
1/5:,"""I had bought ASUS Zenfone Max. But I have a problem with its network. I dont get any network inside my house or outside. so plz me. I just want to replace!!!!"""," Amazon Customer, 8 February 2016"
1/5:,"""Diapers were tearing off. Stickers were horrible"""," Shabnam , 8 February 2016"
4/5:,"""Nice shirt.."""," Rahul Singh, 8 February 2016"
5/5:,"""Superb item."""," Rakibuzzaman C., 8 February 2016"
